red,green,blue
255,69,0
190,0,57
222,16,127
255,56,129
109,0,26
156,105,38
186,123,72
198,132,77
255,168,0
109,72,47
216,144,84
129,30,159
198,119,159
81,82,82
255,180,112
211,126,169
180,74,192
255,214,53
224,134,179
255,153,170
102,160,83
116,178,94
122,191,99
254,152,203
0,0,0
127,198,103
138,216,112
73,58,193
140,219,114
126,237,86
36,80,164
49,120,170
0,117,111
53,131,186
228,171,255
212,215,217
255,248,184
106,92,255
57,140,198
0,163,104
62,150,216
148,179,255
54,144,234
0,158,170
0,204,120
255,255,255
0,204,192
81,233,244
