red,green,blue
0,0,0
0,0,10
0,0,20
0,0,30
0,0,40
0,0,50
0,0,60
0,0,70
0,0,80
0,0,90
0,0,100
0,0,110
0,0,120
0,0,130
0,0,140
0,0,150
0,0,160
0,0,170
0,0,180
0,0,190
0,0,200
0,0,210
0,0,220
0,0,230
0,0,240
0,0,250
0,10,0
0,10,10
0,10,20
0,10,30
0,10,40
0,10,50
0,10,60
0,10,70
0,10,80
0,10,90
0,10,100
0,10,110
0,10,120
0,10,130
0,10,140
0,10,150
0,10,160
0,10,170
0,10,180
0,10,190
0,10,200
0,10,210
0,10,220
0,10,230
0,10,240
0,10,250
0,20,0
0,20,10
0,20,20
0,20,30
0,20,40
0,20,50
0,20,60
0,20,70
0,20,80
0,20,90
0,20,100
0,20,110
0,20,120
0,20,130
0,20,140
0,20,150
0,20,160
0,20,170
0,20,180
0,20,190
0,20,200
0,20,210
0,20,220
0,20,230
0,20,240
0,20,250
0,30,0
0,30,10
0,30,20
0,30,30
0,30,40
0,30,50
0,30,60
0,30,70
0,30,80
0,30,90
0,30,100
0,30,110
0,30,120
0,30,130
0,30,140
0,30,150
0,30,160
0,30,170
0,30,180
0,30,190
0,30,200
0,30,210
0,30,220
0,30,230
0,30,240
0,30,250
0,40,0
0,40,10
0,40,20
0,40,30
0,40,40
0,40,50
0,40,60
0,40,70
0,40,80
0,40,90
0,40,100
0,40,110
0,40,120
0,40,130
0,40,140
0,40,150
0,40,160
0,40,170
0,40,180
0,40,190
0,40,200
0,40,210
0,40,220
0,40,230
0,40,240
0,40,250
0,50,0
0,50,10
0,50,20
0,50,30
0,50,40
0,50,50
0,50,60
0,50,70
0,50,80
0,50,90
0,50,100
0,50,110
0,50,120
0,50,130
0,50,140
0,50,150
0,50,160
0,50,170
0,50,180
0,50,190
0,50,200
0,50,210
0,50,220
0,50,230
0,50,240
0,50,250
0,60,0
0,60,10
0,60,20
0,60,30
0,60,40
0,60,50
0,60,60
0,60,70
0,60,80
0,60,90
0,60,100
0,60,110
0,60,120
0,60,130
0,60,140
0,60,150
0,60,160
0,60,170
0,60,180
0,60,190
0,60,200
0,60,210
0,60,220
0,60,230
0,60,240
0,60,250
0,70,0
0,70,10
0,70,20
0,70,30
0,70,40
0,70,50
0,70,60
0,70,70
0,70,80
0,70,90
0,70,100
0,70,110
0,70,120
0,70,130
0,70,140
0,70,150
0,70,160
0,70,170
0,70,180
0,70,190
0,70,200
0,70,210
0,70,220
0,70,230
0,70,240
0,70,250
0,80,0
0,80,10
0,80,20
0,80,30
0,80,40
0,80,50
0,80,60
0,80,70
0,80,80
0,80,90
0,80,100
0,80,110
0,80,120
0,80,130
0,80,140
0,80,150
0,80,160
0,80,170
0,80,180
0,80,190
0,80,200
0,80,210
0,80,220
0,80,230
0,80,240
0,80,250
0,90,0
0,90,10
0,90,20
0,90,30
0,90,40
0,90,50
0,90,60
0,90,70
0,90,80
0,90,90
0,90,100
0,90,110
0,90,120
0,90,130
0,90,140
0,90,150
0,90,160
0,90,170
0,90,180
0,90,190
0,90,200
0,90,210
0,90,220
0,90,230
0,90,240
0,90,250
0,100,0
0,100,10
0,100,20
0,100,30
0,100,40
0,100,50
0,100,60
0,100,70
0,100,80
0,100,90
0,100,100
0,100,110
0,100,120
0,100,130
0,100,140
0,100,150
0,100,160
0,100,170
0,100,180
0,100,190
0,100,200
0,100,210
0,100,220
0,100,230
0,100,240
0,100,250
0,110,0
0,110,10
0,110,20
0,110,30
0,110,40
0,110,50
0,110,60
0,110,70
0,110,80
0,110,90
0,110,100
0,110,110
0,110,120
0,110,130
0,110,140
0,110,150
0,110,160
0,110,170
0,110,180
0,110,190
0,110,200
0,110,210
0,110,220
0,110,230
0,110,240
0,110,250
0,120,0
0,120,10
0,120,20
0,120,30
0,120,40
0,120,50
0,120,60
0,120,70
0,120,80
0,120,90
0,120,100
0,120,110
0,120,120
0,120,130
0,120,140
0,120,150
0,120,160
0,120,170
0,120,180
0,120,190
0,120,200
0,120,210
0,120,220
0,120,230
0,120,240
0,120,250
0,130,0
0,130,10
0,130,20
0,130,30
0,130,40
0,130,50
0,130,60
0,130,70
0,130,80
0,130,90
0,130,100
0,130,110
0,130,120
0,130,130
0,130,140
0,130,150
0,130,160
0,130,170
0,130,180
0,130,190
0,130,200
0,130,210
0,130,220
0,130,230
0,130,240
0,130,250
0,140,0
0,140,10
0,140,20
0,140,30
0,140,40
0,140,50
0,140,60
0,140,70
0,140,80
0,140,90
0,140,100
0,140,110
0,140,120
0,140,130
0,140,140
0,140,150
0,140,160
0,140,170
0,140,180
0,140,190
0,140,200
0,140,210
0,140,220
0,140,230
0,140,240
0,140,250
0,150,0
0,150,10
0,150,20
0,150,30
0,150,40
0,150,50
0,150,60
0,150,70
0,150,80
0,150,90
0,150,100
0,150,110
0,150,120
0,150,130
0,150,140
0,150,150
0,150,160
0,150,170
0,150,180
0,150,190
0,150,200
0,150,210
0,150,220
0,150,230
0,150,240
0,150,250
0,160,0
0,160,10
0,160,20
0,160,30
0,160,40
0,160,50
0,160,60
0,160,70
0,160,80
0,160,90
0,160,100
0,160,110
0,160,120
0,160,130
0,160,140
0,160,150
0,160,160
0,160,170
0,160,180
0,160,190
0,160,200
0,160,210
0,160,220
0,160,230
0,160,240
0,160,250
0,170,0
0,170,10
0,170,20
0,170,30
0,170,40
0,170,50
0,170,60
0,170,70
0,170,80
0,170,90
0,170,100
0,170,110
0,170,120
0,170,130
0,170,140
0,170,150
0,170,160
0,170,170
0,170,180
0,170,190
0,170,200
0,170,210
0,170,220
0,170,230
0,170,240
0,170,250
0,180,0
0,180,10
0,180,20
0,180,30
0,180,40
0,180,50
0,180,60
0,180,70
0,180,80
0,180,90
0,180,100
0,180,110
0,180,120
0,180,130
0,180,140
0,180,150
0,180,160
0,180,170
0,180,180
0,180,190
0,180,200
0,180,210
0,180,220
0,180,230
0,180,240
0,180,250
0,190,0
0,190,10
0,190,20
0,190,30
0,190,40
0,190,50
0,190,60
0,190,70
0,190,80
0,190,90
0,190,100
0,190,110
0,190,120
0,190,130
0,190,140
0,190,150
0,190,160
0,190,170
0,190,180
0,190,190
0,190,200
0,190,210
0,190,220
0,190,230
0,190,240
0,190,250
0,200,0
0,200,10
0,200,20
0,200,30
0,200,40
0,200,50
0,200,60
0,200,70
0,200,80
0,200,90
0,200,100
0,200,110
0,200,120
0,200,130
0,200,140
0,200,150
0,200,160
0,200,170
0,200,180
0,200,190
0,200,200
0,200,210
0,200,220
0,200,230
0,200,240
0,200,250
0,210,0
0,210,10
0,210,20
0,210,30
0,210,40
0,210,50
0,210,60
0,210,70
0,210,80
0,210,90
0,210,100
0,210,110
0,210,120
0,210,130
0,210,140
0,210,150
0,210,160
0,210,170
0,210,180
0,210,190
0,210,200
0,210,210
0,210,220
0,210,230
0,210,240
0,210,250
0,220,0
0,220,10
0,220,20
0,220,30
0,220,40
0,220,50
0,220,60
0,220,70
0,220,80
0,220,90
0,220,100
0,220,110
0,220,120
0,220,130
0,220,140
0,220,150
0,220,160
0,220,170
0,220,180
0,220,190
0,220,200
0,220,210
0,220,220
0,220,230
0,220,240
0,220,250
0,230,0
0,230,10
0,230,20
0,230,30
0,230,40
0,230,50
0,230,60
0,230,70
0,230,80
0,230,90
0,230,100
0,230,110
0,230,120
0,230,130
0,230,140
0,230,150
0,230,160
0,230,170
0,230,180
0,230,190
0,230,200
0,230,210
0,230,220
0,230,230
0,230,240
0,230,250
0,240,0
0,240,10
0,240,20
0,240,30
0,240,40
0,240,50
0,240,60
0,240,70
0,240,80
0,240,90
0,240,100
0,240,110
0,240,120
0,240,130
0,240,140
0,240,150
0,240,160
0,240,170
0,240,180
0,240,190
0,240,200
0,240,210
0,240,220
0,240,230
0,240,240
0,240,250
0,250,0
0,250,10
0,250,20
0,250,30
0,250,40
0,250,50
0,250,60
0,250,70
0,250,80
0,250,90
0,250,100
0,250,110
0,250,120
0,250,130
0,250,140
0,250,150
0,250,160
0,250,170
0,250,180
0,250,190
0,250,200
0,250,210
0,250,220
0,250,230
0,250,240
0,250,250
10,0,0
10,0,10
10,0,20
10,0,30
10,0,40
10,0,50
10,0,60
10,0,70
10,0,80
10,0,90
10,0,100
10,0,110
10,0,120
10,0,130
10,0,140
10,0,150
10,0,160
10,0,170
10,0,180
10,0,190
10,0,200
10,0,210
10,0,220
10,0,230
10,0,240
10,0,250
10,10,0
