red,green,blue
0,0,0
0,0,32
0,0,64
0,0,96
0,0,128
0,0,160
0,0,192
0,0,224
0,32,0
0,32,32
0,32,64
0,32,96
0,32,128
0,32,160
0,32,192
0,32,224
0,64,0
0,64,32
0,64,64
0,64,96
0,64,128
0,64,160
0,64,192
0,64,224
0,96,0
0,96,32
0,96,64
0,96,96
0,96,128
0,96,160
0,96,192
0,96,224
0,128,0
0,128,32
0,128,64
0,128,96
0,128,128
0,128,160
0,128,192
0,128,224
0,160,0
0,160,32
0,160,64
0,160,96
0,160,128
0,160,160
0,160,192
0,160,224
0,192,0
0,192,32
0,192,64
0,192,96
0,192,128
0,192,160
0,192,192
0,192,224
0,224,0
0,224,32
0,224,64
0,224,96
0,224,128
0,224,160
0,224,192
0,224,224
32,0,0
32,0,32
32,0,64
32,0,96
32,0,128
32,0,160
32,0,192
32,0,224
32,32,0
32,32,32
32,32,64
32,32,96
32,32,128
32,32,160
32,32,192
32,32,224
32,64,0
32,64,32
32,64,64
32,64,96
32,64,128
32,64,160
32,64,192
32,64,224
32,96,0
32,96,32
32,96,64
32,96,96
32,96,128
32,96,160
32,96,192
32,96,224
32,128,0
32,128,32
32,128,64
32,128,96
32,128,128
32,128,160
32,128,192
32,128,224
32,160,0
32,160,32
32,160,64
32,160,96
32,160,128
32,160,160
32,160,192
32,160,224
32,192,0
32,192,32
32,192,64
32,192,96
32,192,128
32,192,160
32,192,192
32,192,224
32,224,0
32,224,32
32,224,64
32,224,96
32,224,128
32,224,160
32,224,192
32,224,224
64,0,0
64,0,32
64,0,64
64,0,96
64,0,128
64,0,160
64,0,192
64,0,224
64,32,0
64,32,32
64,32,64
64,32,96
64,32,128
64,32,160
64,32,192
64,32,224
64,64,0
64,64,32
64,64,64
64,64,96
64,64,128
64,64,160
64,64,192
64,64,224
64,96,0
64,96,32
64,96,64
64,96,96
64,96,128
64,96,160
64,96,192
64,96,224
64,128,0
64,128,32
64,128,64
64,128,96
64,128,128
64,128,160
64,128,192
64,128,224
64,160,0
64,160,32
64,160,64
64,160,96
64,160,128
64,160,160
