red,green,blue
255,255,255
250,250,250
252,252,252
194,203,187
142,175,109
140,179,108
140,179,107
138,177,106
135,175,105
134,175,104
136,175,106
147,179,113
152,181,117
152,180,117
147,170,112
124,115,91
118,98,86
118,99,86
121,100,87
134,111,94
156,127,104
158,129,105
157,128,104
149,121,100
143,117,98
144,117,98
151,122,101
178,142,115
184,147,117
183,146,117
181,145,117
168,135,110
159,129,105
160,129,106
158,128,105
157,127,104
155,125,104
146,118,99
142,116,97
141,115,96
142,117,97
153,125,103
155,125,102
179,166,156
234,236,233
115,171,88
117,168,80
117,180,76
117,180,75
117,180,74
118,181,75
126,183,81
139,187,92
141,188,93
139,182,91
113,122,65
91,65,43
90,62,41
89,61,41
98,68,46
141,101,69
150,108,74
142,101,69
125,88,60
122,86,59
126,89,60
159,114,78
184,132,91
185,133,92
175,126,87
154,111,76
151,108,74
149,107,73
135,96,66
123,87,59
122,86,58
131,93,63
148,106,73
151,109,74
151,114,84
221,219,217
187,201,181
102,153,67
112,156,76
116,177,77
116,180,74
117,181,75
119,182,77
134,186,88
131,165,83
96,85,49
89,60,41
91,62,42
118,84,57
147,106,73
130,92,63
121,85,58
136,96,66
178,128,88
182,131,91
161,116,80
145,104,71
151,109,75
178,163,151
234,236,234
116,157,89
103,147,68
104,147,69
115,166,79
116,179,75
125,183,81
139,183,91
112,121,65
88,61,41
97,68,46
124,87,59
124,88,60
159,113,78
183,132,91
174,125,86
153,110,76
134,96,65
152,115,86
102,151,67
103,146,68
103,145,68
119,182,76
140,186,92
130,163,82
96,85,50
89,61,42
89,62,42
91,63,43
119,84,58
147,105,72
177,127,88
184,132,92
182,131,90
161,115,79
144,104,71
120,85,58
122,85,58
177,162,151
117,157,90
116,167,80
115,179,73
115,178,73
121,175,77
127,160,80
129,159,81
127,154,79
106,106,63
96,78,62
94,73,60
93,73,59
101,78,62
136,99,70
143,102,70
133,95,65
116,81,55
113,79,54
145,103,71
163,116,80
163,117,80
168,120,83
170,122,84
169,121,84
160,115,79
143,103,70
146,105,72
144,103,70
127,90,61
114,80,54
124,87,60
129,91,62
128,91,62
135,96,65
144,103,71
145,110,82
221,219,218
190,204,183
110,159,73
118,163,80
118,179,78
118,182,76
114,178,72
109,173,67
108,168,66
99,111,54
94,80,47
94,79,47
95,81,48
95,77,58
105,101,98
107,105,104
106,104,102
116,99,87
123,88,62
102,71,48
92,64,43
92,63,43
91,63,42
96,66,44
100,69,47
101,70,47
112,78,53
126,89,61
127,89,61
148,107,73
133,94,64
118,83,56
96,67,45
92,63,42
94,65,44
115,81,55
127,90,63
172,159,151
135,176,101
