red,green,blue
93,138,168
0,48,143
114,160,193
163,38,56
240,248,255
227,38,54
196,98,16
239,222,205
229,43,80
255,191,0
255,126,0
255,3,62
153,102,204
164,198,57
94,139,169
1,49,144
115,161,194
164,39,57
241,249,256
228,39,55
197,99,17
240,223,206
230,44,81
256,192,1
256,127,1
256,4,63
154,103,205
165,199,58
95,140,170
2,50,145
116,162,195
165,40,58
242,250,257
229,40,56
198,100,18
241,224,207
231,45,82
257,193,2
257,128,2
257,5,64
155,104,206
166,200,59
96,141,171
3,51,146
117,163,196
166,41,59
243,251,258
230,41,57
199,101,19
242,225,208
232,46,83
258,194,3
258,129,3
258,6,65
156,105,207
167,201,60
97,142,172
4,52,147
118,164,197
167,42,60
244,252,259
231,42,58
200,102,20
243,226,209
233,47,84
259,195,4
259,130,4
259,7,66
157,106,208
168,202,61
98,143,173
5,53,148
119,165,198
168,43,61
245,253,260
232,43,59
201,103,21
94,139,169
1,49,144
115,161,194
164,39,57
241,249,256
228,39,55
197,99,17
240,223,206
230,44,81
256,192,1
256,127,1
256,4,63
154,103,205
165,199,58
95,140,170
2,50,145
116,162,195
165,40,58
242,250,257
229,40,56
198,100,18
241,224,207
231,45,82
257,193,2
257,128,2
257,5,64
155,104,206
166,200,59
96,141,171
3,51,146
117,163,196
166,41,59
243,251,258
230,41,57
199,101,19
242,225,208
232,46,83
258,194,3
258,129,3
258,6,65
156,105,207
167,201,60
97,142,172
4,52,147
118,164,197
167,42,60
244,252,259
231,42,58
200,102,20
243,226,209
233,47,84
259,195,4
259,130,4
259,7,66
157,106,208
168,202,61
98,143,173
5,53,148
119,165,198
168,43,61
245,253,260
232,43,59
201,103,21
244,227,210
234,48,85
260,196,5
260,131,5
260,8,67
158,107,209
169,203,62
99,144,174
6,54,149
120,166,199
169,44,62
246,254,261
233,44,60
202,104,22
95,140,170
2,50,145
116,162,195
165,40,58
242,250,257
229,40,56
198,100,18
241,224,207
231,45,82
257,193,2
257,128,2
257,5,64
155,104,206
166,200,59
96,141,171
3,51,146
117,163,196
166,41,59
243,251,258
230,41,57
199,101,19
242,225,208
232,46,83
258,194,3
258,129,3
258,6,65
156,105,207
167,201,60
97,142,172
4,52,147
118,164,197
167,42,60
244,252,259
231,42,58
200,102,20
243,226,209
233,47,84
259,195,4
259,130,4
259,7,66
157,106,208
168,202,61
98,143,173
5,53,148
119,165,198
168,43,61
245,253,260
232,43,59
201,103,21
244,227,210
234,48,85
260,196,5
260,131,5
260,8,67
158,107,209
169,203,62
99,144,174
6,54,149
120,166,199
169,44,62
246,254,261
233,44,60
202,104,22
245,228,211
235,49,86
261,197,6
261,132,6
261,9,68
159,108,210
170,204,63
100,145,175
7,55,150
121,167,200
170,45,63
247,255,262
234,45,61
203,105,23
96,141,171
3,51,146
117,163,196
166,41,59
243,251,258
230,41,57
199,101,19
242,225,208
232,46,83
258,194,3
258,129,3
258,6,65
156,105,207
167,201,60
97,142,172
4,52,147
118,164,197
167,42,60
244,252,259
231,42,58
200,102,20
243,226,209
233,47,84
259,195,4
259,130,4
259,7,66
157,106,208
168,202,61
98,143,173
5,53,148
119,165,198
168,43,61
245,253,260
232,43,59
201,103,21
244,227,210
234,48,85
260,196,5
260,131,5
260,8,67
158,107,209
169,203,62
99,144,174
6,54,149
120,166,199
169,44,62
246,254,261
233,44,60
202,104,22
245,228,211
235,49,86
261,197,6
261,132,6
261,9,68
159,108,210
170,204,63
100,145,175
7,55,150
121,167,200
170,45,63
247,255,262
234,45,61
203,105,23
246,229,212
236,50,87
262,198,7
262,133,7
262,10,69
160,109,211
171,205,64
101,146,176
8,56,151
122,168,201
171,46,64
248,256,263
235,46,62
204,106,24
97,142,172
4,52,147
118,164,197
167,42,60
244,252,259
231,42,58
200,102,20
243,226,209
233,47,84
259,195,4
259,130,4
259,7,66
157,106,208
168,202,61
98,143,173
5,53,148
119,165,198
168,43,61
245,253,260
232,43,59
201,103,21
244,227,210
234,48,85
260,196,5
260,131,5
260,8,67
158,107,209
169,203,62
99,144,174
6,54,149
120,166,199
169,44,62
246,254,261
233,44,60
202,104,22
245,228,211
235,49,86
261,197,6
261,132,6
261,9,68
159,108,210
170,204,63
100,145,175
7,55,150
121,167,200
170,45,63
247,255,262
234,45,61
203,105,23
246,229,212
236,50,87
262,198,7
262,133,7
262,10,69
160,109,211
