red,green,blue
255,255,255
204,203,203
157,157,156
117,116,117
84,84,81
58,57,56
36,36,36
24,24,22
17,17,16
17,18,16
26,24,22
40,37,35
60,58,56
84,84,84
118,118,117
158,157,156
204,204,203
223,223,223
150,150,150
84,83,82
25,23,22
17,16,13
16,16,13
16,17,14
18,17,15
17,17,15
16,16,16
19,17,16
20,17,15
20,17,14
22,17,16
20,17,16
18,17,18
21,17,16
21,18,15
21,17,15
26,25,25
85,84,85
151,151,150
224,223,223
166,164,164
80,77,76
19,17,15
17,16,15
19,18,14
20,18,15
22,18,17
22,18,15
22,18,16
22,19,18
22,18,19
23,19,18
22,19,17
23,19,17
82,79,78
166,165,164
243,243,243
139,138,136
40,38,36
21,18,17
22,18,18
23,18,15
21,19,17
24,19,17
23,20,17
24,20,17
24,20,18
25,21,20
24,21,19
23,21,19
25,21,18
25,21,17
26,22,20
26,22,21
27,23,21
27,23,22
47,43,40
142,140,140
148,146,145
39,35,34
25,21,21
26,22,19
27,22,22
26,23,21
26,23,20
27,23,20
26,23,22
28,24,20
28,23,22
28,24,23
28,24,21
27,24,20
28,24,22
30,26,24
30,27,25
31,27,25
32,28,26
31,27,27
32,28,27
45,41,40
151,149,149
188,186,186
68,65,64
29,25,24
30,26,25
30,26,22
30,26,23
31,27,24
32,28,25
31,28,25
32,27,25
31,26,25
31,27,26
30,26,26
70,66,66
188,187,187
127,124,124
32,28,29
32,28,28
33,28,26
32,29,28
33,28,30
33,29,28
34,30,28
35,31,29
34,30,30
34,30,29
35,31,28
34,30,27
33,29,27
33,29,30
36,32,29
125,124,123
213,212,212
77,73,73
33,29,26
33,29,29
34,30,31
35,31,30
35,31,31
37,33,30
37,33,31
31,28,26
29,27,26
35,27,27
99,72,71
220,212,211
181,180,179
34,31,29
28,24,24
29,25,23
31,27,23
31,27,28
33,28,28
33,28,27
33,30,26
30,25,25
29,26,25
37,27,26
88,28,28
93,24,22
72,31,26
191,180,178
158,157,155
21,16,13
21,17,14
23,19,16
24,21,17
24,21,18
25,21,19
25,22,19
27,24,21
28,25,21
28,25,20
28,25,23
29,24,22
28,26,22
28,25,22
29,25,21
29,25,22
30,25,23
28,26,23
27,25,22
29,24,23
64,28,28
98,28,28
86,24,22
66,24,19
56,25,19
172,160,157
151,149,148
18,13,11
18,14,11
18,14,12
19,15,12
20,16,13
20,15,12
19,16,12
19,17,13
20,17,13
21,18,14
22,17,15
22,19,16
21,19,16
20,21,15
20,20,15
21,20,15
23,20,16
23,20,15
23,21,17
23,21,18
23,20,18
24,20,19
26,21,20
24,21,20
33,23,22
74,32,31
92,28,26
85,24,22
54,25,18
49,26,18
52,25,18
167,154,151
158,156,155
18,15,12
19,14,11
20,15,13
20,16,12
17,14,10
14,11,8
15,12,9
16,13,9
16,12,9
15,13,9
15,13,10
16,14,10
18,16,12
18,17,13
18,17,12
17,17,13
19,17,14
19,18,13
18,18,13
17,18,13
18,16,13
49,27,25
74,34,32
90,27,26
87,24,22
48,27,18
60,23,17
68,22,18
39,28,18
174,160,157
178,177,176
8,5,3
8,3,1
12,5,4
12,6,5
11,7,6
12,7,6
11,6,5
10,7,4
23,15,13
35,26,25
30,21,20
28,20,18
28,21,19
30,20,19
17,8,8
10,5,3
29,19,17
26,18,16
15,9,7
18,15,11
17,14,11
17,15,11
17,17,12
19,16,13
17,16,12
18,14,10
17,12,9
61,31,30
70,33,31
91,26,26
86,24,21
62,22,18
40,28,17
67,21,18
196,179,178
211,210,209
17,11,9
77,62,55
99,89,78
120,103,92
126,118,103
123,122,105
129,126,108
104,91,78
41,33,30
117,106,103
158,152,137
153,144,123
148,139,119
140,131,112
141,132,112
126,113,95
92,79,71
126,120,113
137,132,119
109,101,89
50,46,41
19,15,10
17,16,11
16,16,12
25,15,13
67,36,35
65,32,29
90,26,25
86,23,21
66,22,18
56,24,18
51,25,18
48,25,18
55,24,17
81,27,26
221,211,210
66,63,61
21,17,13
8,4,3
89,76,66
194,188,155
183,181,147
180,179,145
181,178,144
180,177,144
179,176,144
178,174,142
162,158,132
141,143,125
132,136,120
141,144,125
168,166,137
175,173,136
174,173,137
183,182,144
173,173,140
125,132,118
135,139,122
145,150,126
66,76,70
16,11,8
17,15,12
19,14,12
33,19,18
68,39,37
61,31,28
88,26,25
85,23,21
55,25,18
53,24,17
60,22,17
58,23,18
110,67,65
119,117,115
26,17,15
165,153,128
178,176,143
171,166,136
171,167,136
169,166,135
169,165,136
171,168,136
170,165,133
167,164,133
162,160,130
172,170,136
179,176,140
175,172,137
178,174,138
161,158,126
134,134,109
104,112,95
65,67,63
18,11,9
42,24,22
65,40,37
62,29,27
87,26,25
88,23,21
52,26,18
48,26,18
63,22,17
46,26,17
45,25,17
74,20,17
149,120,118
185,184,183
10,8,5
69,55,49
193,186,154
174,171,139
173,170,138
170,167,136
169,167,136
170,167,137
168,164,134
163,161,130
165,163,130
179,175,138
152,148,112
133,128,94
131,125,93
136,130,97
134,128,96
118,112,82
112,107,81
97,97,80
77,73,60
33,23,18
17,13,10
17,13,9
18,13,10
11,7,4
12,10,7
54,25,25
63,39,37
59,28,26
86,25,24
50,25,18
50,25,17
72,20,18
42,27,17
56,24,17
73,20,17
201,185,184
60,56,54
0,0,0
74,64,57
200,196,160
184,180,142
185,180,144
182,177,142
177,173,140
172,169,137
168,165,135
168,165,133
143,143,116
140,140,111
115,112,84
101,97,78
108,103,94
106,97,89
108,99,91
110,100,93
111,102,94
115,106,98
117,107,101
116,105,96
121,107,100
117,103,98
121,107,101
121,108,101
122,107,101
122,108,101
120,106,99
121,107,99
120,105,99
119,106,99
118,100,94
90,71,67
45,33,30
12,8,6
16,14,11
16,13,10
43,23,22
59,38,36
57,28,26
84,24,24
53,23,17
50,24,17
38,27,17
75,20,18
73,21,17
74,20,18
104,61,58
145,143,142
14,10,7
44,35,32
125,112,102
165,165,140
163,162,135
165,163,136
165,164,137
165,164,138
165,164,136
169,165,134
173,169,138
151,150,122
109,112,91
83,85,70
119,116,112
160,150,150
146,135,133
131,117,110
133,119,112
135,120,113
137,121,115
138,123,115
140,125,117
143,128,121
144,130,121
146,131,123
145,130,121
145,130,122
146,131,122
144,129,121
144,129,120
142,129,119
136,124,115
132,116,106
83,65,59
20,11,10
27,22,19
57,37,36
53,27,25
82,24,24
62,23,18
54,23,17
55,23,17
75,20,17
75,21,18
171,145,144
31,20,18
169,158,135
182,182,150
169,166,138
168,166,138
167,165,137
167,165,136
170,166,135
175,170,137
110,116,96
57,69,61
139,131,128
183,164,160
172,150,135
158,138,124
155,137,125
158,139,127
160,141,128
158,140,128
157,139,127
157,139,126
156,138,125
158,140,129
156,137,125
156,137,126
155,136,125
154,136,124
154,135,123
154,135,124
135,122,113
119,111,103
127,115,104
91,68,61
29,22,20
56,37,35
53,25,24
81,23,22
86,22,21
39,26,17
51,24,17
59,23,17
70,21,18
77,21,18
76,21,18
76,20,18
89,35,32
245,243,243
138,136,135
6,3,1
101,93,82
190,188,156
171,169,138
175,172,141
174,170,138
174,170,137
172,168,137
172,169,138
170,165,134
72,85,73
80,88,83
192,171,162
182,162,150
180,156,141
169,148,133
167,148,134
173,152,137
176,154,139
168,148,133
168,148,134
170,149,135
169,148,134
